"filename","line_of_code"
"iter1 - GPT4_prompt_2_NameRegistry_slither_report_1.txt","40"
"iter1 - GPT4_prompt_20_PropertyRegistry_slither_report_1.txt","31"
"iter1 - GPT4_prompt_21_Attendance_slither_report_1.txt","20"
"iter1 - GPT4_prompt_22_TokenAirdrop_slither_report_1.txt","28"
"iter1 - GPT4_prompt_23_TipJar_slither_report_1.txt","23"
"iter1 - GPT4_prompt_24_VotingAccessControl_slither_report_1.txt","56"
"iter1 - GPT4_prompt_25_DecentralizedNameService_slither_report_1.txt","40"
"iter1 - GPT4_prompt_26_RecurringPayment_slither_report_1.txt","42"
"iter1 - GPT4_prompt_27_CertificateNFT_slither_report_1.txt","24"
"iter1 - GPT4_prompt_28_ReputationSystem_slither_report_1.txt","25"
"iter1 - GPT4_prompt_29_EncryptedDataStore_slither_report_1.txt","23"
"iter1 - GPT4_prompt_3_Crowdfunding_slither_report_1.txt","52"
"iter1 - GPT4_prompt_30_Auction_slither_report_1.txt","40"
"iter1 - GPT4_prompt_31_FeeWallet_slither_report_1.txt","38"
"iter1 - GPT4_prompt_32_TaskReward_slither_report_1.txt","40"
"iter1 - GPT4_prompt_33_CommunityProposals_slither_report_1.txt","39"
"iter1 - GPT4_prompt_34_OnChainMessages_slither_report_1.txt","34"
"iter1 - GPT4_prompt_35_PausableWallet_slither_report_1.txt","41"
"iter1 - GPT4_prompt_4_TokenVesting_slither_report_1.txt","43"
"iter1 - GPT4_prompt_5_Marketplace_slither_report_1.txt","32"
"iter1 - GPT4_prompt_6_LikesTracker_slither_report_1.txt","17"
"iter1 - GPT4_prompt_7_VotingSystem_slither_report_1.txt","56"
"iter1 - GPT4_prompt_8_MessageBoard_slither_report_1.txt","24"
"iter1 - GPT4_prompt_9_LoyaltyPoints_slither_report_1.txt","28"
"iter10 - Claude4.5_prompt_1_SavingsWallet_slither_report_1.txt","36"
"iter10 - Claude4.5_prompt_10_ETHLockup_slither_report_1.txt","84"
"iter10 - Claude4.5_prompt_11_SubscriptionSystem_slither_report_1.txt","89"
"iter10 - Claude4.5_prompt_12_FeedbackSystem_slither_report_1.txt","77"
"iter10 - Claude4.5_prompt_13_CharityDonationTracker_slither_report_1.txt","137"
"iter10 - Claude4.5_prompt_14_TokenFaucet_slither_report_1.txt","67"
"iter10 - Claude4.5_prompt_15_ETHDistributor_slither_report_1.txt","60"
"iter10 - Claude4.5_prompt_16_Escrow_slither_report_1.txt","107"
"iter10 - Claude4.5_prompt_17_Raffle_slither_report_1.txt","105"
"iter10 - Claude4.5_prompt_18_JobBoard_slither_report_1.txt","144"
"iter10 - Claude4.5_prompt_19_ToDoList_slither_report_1.txt","116"
"iter10 - Claude4.5_prompt_2_NameRegistry_slither_report_1.txt","43"
"iter10 - Claude4.5_prompt_20_PropertyRegistry_slither_report_1.txt","120"
"iter10 - Claude4.5_prompt_21_EventAttendance_slither_report_1.txt","135"
"iter10 - Claude4.5_prompt_22_TokenAirdrop_slither_report_1.txt","139"
"iter10 - Claude4.5_prompt_23_TipJar_slither_report_1.txt","146"
"iter10 - Claude4.5_prompt_24_VotingAccessControl_slither_report_1.txt","203"
"iter10 - Claude4.5_prompt_25_DecentralizedNameService_slither_report_1.txt","151"
"iter10 - Claude4.5_prompt_26_RecurringPayment_slither_report_1.txt","172"
"iter10 - Claude4.5_prompt_27_DigitalCertificateNFT_slither_report_1.txt","168"
"iter10 - Claude4.5_prompt_28_ReputationSystem_slither_report_1.txt","181"
"iter10 - Claude4.5_prompt_29_EncryptedDataStorage_slither_report_1.txt","148"
"iter10 - Claude4.5_prompt_3_Crowdfunding_slither_report_1.txt","75"
"iter10 - Claude4.5_prompt_30_TimeBasedAuction_slither_report_1.txt","186"
"iter10 - Claude4.5_prompt_31_DepositWithdrawFee_slither_report_1.txt","88"
"iter10 - Claude4.5_prompt_32_TaskRewardSystem_slither_report_1.txt","181"
"iter10 - Claude4.5_prompt_33_CommunityProposals_slither_report_1.txt","209"
"iter10 - Claude4.5_prompt_34_MessageLikes_slither_report_1.txt","131"
"iter10 - Claude4.5_prompt_35_PausableETHTransfer_slither_report_1.txt","96"
"iter10 - Claude4.5_prompt_4_TokenVesting_slither_report_1.txt","81"
"iter10 - Claude4.5_prompt_5_Marketplace_slither_report_1.txt","79"
"iter10 - Claude4.5_prompt_6_LikeTracker_slither_report_1.txt","29"
"iter10 - Claude4.5_prompt_7_VotingSystem_slither_report_1.txt","84"
"iter10 - Claude4.5_prompt_8_MessageBoard_slither_report_1.txt","61"
"iter10 - Claude4.5_prompt_9_LoyaltyPoints_slither_report_1.txt","62"
"iter10 - Gemini2.5_prompt_1_SavingsWallet_slither_report_1.txt","25"
"iter10 - Gemini2.5_prompt_10_TimeLockedWallet_slither_report_1.txt","39"
"iter10 - Gemini2.5_prompt_11_Subscription_slither_report_1.txt","44"
"iter10 - Gemini2.5_prompt_12_Feedback_slither_report_1.txt","28"
"iter10 - Gemini2.5_prompt_13_CharityDonations_slither_report_1.txt","37"
"iter10 - Gemini2.5_prompt_14_TokenFaucet_slither_report_1.txt","36"
"iter10 - Gemini2.5_prompt_15_Distributor_slither_report_1.txt","28"
"iter10 - Gemini2.5_prompt_16_Escrow_slither_report_1.txt","55"
"iter10 - Gemini2.5_prompt_17_Raffle_slither_report_1.txt","38"
"iter10 - Gemini2.5_prompt_18_JobBoard_slither_report_1.txt","50"
"iter10 - Gemini2.5_prompt_19_ToDoList_slither_report_1.txt","27"
"iter10 - Gemini2.5_prompt_2_NameRegistry_slither_report_1.txt","36"
"iter10 - Gemini2.5_prompt_20_PropertyRegistry_slither_report_1.txt","43"
"iter10 - Gemini2.5_prompt_21_EventAttendance_slither_report_1.txt","27"
"iter10 - Gemini2.5_prompt_22_Airdrop_slither_report_1.txt","27"
"iter10 - Gemini2.5_prompt_23_TipJar_slither_report_1.txt","16"
"iter10 - Gemini2.5_prompt_24_AccessControl_slither_report_1.txt","69"
"iter10 - Gemini2.5_prompt_25_NameService_slither_report_1.txt","33"
"iter10 - Gemini2.5_prompt_26_RecurringPayments_slither_report_1.txt","49"
"iter10 - Gemini2.5_prompt_27_DigitalCertificate_slither_report_1.txt","56"
"iter10 - Gemini2.5_prompt_28_ReputationSystem_slither_report_1.txt","30"
"iter10 - Gemini2.5_prompt_29_DataStore_slither_report_1.txt","26"
"iter10 - Gemini2.5_prompt_3_Crowdfunding_slither_report_1.txt","57"
"iter10 - Gemini2.5_prompt_30_TimeAuction_slither_report_1.txt","48"
"iter10 - Gemini2.5_prompt_31_FeeBasedWithdrawal_slither_report_1.txt","29"
"iter10 - Gemini2.5_prompt_32_TaskReward_slither_report_1.txt","43"
"iter10 - Gemini2.5_prompt_33_CommunityProposals_slither_report_1.txt","57"
"iter10 - Gemini2.5_prompt_34_Messaging_slither_report_1.txt","32"
"iter10 - Gemini2.5_prompt_35_PausableTransfers_slither_report_1.txt","48"
"iter10 - Gemini2.5_prompt_4_TokenVesting_slither_report_1.txt","46"
"iter10 - Gemini2.5_prompt_5_SimpleMarketplace_slither_report_1.txt","42"
"iter10 - Gemini2.5_prompt_6_LikeTracker_slither_report_1.txt","17"
"iter10 - Gemini2.5_prompt_7_VotingSystem_slither_report_1.txt","49"
"iter10 - Gemini2.5_prompt_8_MessageBoard_slither_report_1.txt","24"
"iter10 - Gemini2.5_prompt_9_LoyaltyPoints_slither_report_1.txt","31"
"iter10 - GPT4_prompt_1_SavingsWallet_slither_report_1.txt","27"
"iter10 - GPT4_prompt_10_EthLocker_slither_report_1.txt","40"
"iter10 - GPT4_prompt_11_Subscription_slither_report_1.txt","35"
"iter10 - GPT4_prompt_12_Feedback_slither_report_1.txt","31"
"iter10 - GPT4_prompt_13_CharityDonationTracker_slither_report_1.txt","30"
"iter10 - GPT4_prompt_14_TokenFaucet_slither_report_1.txt","22"
"iter10 - GPT4_prompt_15_EthDistributor_slither_report_1.txt","23"
"iter10 - GPT4_prompt_16_Escrow_slither_report_1.txt","46"
"iter10 - GPT4_prompt_17_Raffle_slither_report_1.txt","39"
"iter10 - GPT4_prompt_18_JobBoard_slither_report_1.txt","35"
"iter10 - GPT4_prompt_19_TodoList_slither_report_1.txt","34"
"iter10 - GPT4_prompt_2_NameRegistry_slither_report_1.txt","28"
"iter10 - GPT4_prompt_20_PropertyRegistry_slither_report_1.txt","50"
"iter10 - GPT4_prompt_21_EventAttendance_slither_report_1.txt","19"
"iter10 - GPT4_prompt_22_TokenAirdrop_slither_report_1.txt","26"
"iter10 - GPT4_prompt_23_TipJar_slither_report_1.txt","23"
"iter10 - GPT4_prompt_24_VotingAccessControl_slither_report_1.txt","79"
"iter10 - GPT4_prompt_25_DecentralizedNameService_slither_report_1.txt","40"
"iter10 - GPT4_prompt_26_RecurringPayments_slither_report_1.txt","50"
"iter10 - GPT4_prompt_27_CertificateNFT_slither_report_1.txt","31"
"iter10 - GPT4_prompt_28_ReputationSystem_slither_report_1.txt","25"
"iter10 - GPT4_prompt_29_EncryptedDataStore_slither_report_1.txt","23"
"iter10 - GPT4_prompt_3_Crowdfunding_slither_report_1.txt","47"
"iter10 - GPT4_prompt_30_TimeBasedAuction_slither_report_1.txt","46"
"iter10 - GPT4_prompt_31_FeeVault_slither_report_1.txt","35"
"iter10 - GPT4_prompt_32_TaskReward_slither_report_1.txt","47"
"iter10 - GPT4_prompt_33_CommunityProposals_slither_report_1.txt","58"
"iter10 - GPT4_prompt_34_MessageWithLikes_slither_report_1.txt","39"
"iter10 - GPT4_prompt_35_PausableTransfer_slither_report_1.txt","35"
"iter10 - GPT4_prompt_4_TokenVesting_slither_report_1.txt","38"
"iter10 - GPT4_prompt_5_Marketplace_slither_report_1.txt","38"
"iter10 - GPT4_prompt_6_LikeTracker_slither_report_1.txt","17"
"iter10 - GPT4_prompt_7_SimpleVoting_slither_report_1.txt","46"
"iter10 - GPT4_prompt_8_MessageBoard_slither_report_1.txt","28"
"iter10 - GPT4_prompt_9_LoyaltyPoints_slither_report_1.txt","31"
"iter2 - Claude4.5_prompt_1_SavingsWallet_slither_report_1.txt","30"
"iter2 - Claude4.5_prompt_10_TimeLock_slither_report_1.txt","99"
"iter2 - Claude4.5_prompt_11_SubscriptionSystem_slither_report_1.txt","98"
"iter2 - Claude4.5_prompt_12_FeedbackSystem_slither_report_1.txt","92"
"iter2 - Claude4.5_prompt_13_CharityDonation_slither_report_1.txt","104"
"iter2 - Claude4.5_prompt_14_TokenFaucet_slither_report_1.txt","117"
"iter2 - Claude4.5_prompt_15_EvenDistribution_slither_report_1.txt","85"
"iter2 - Claude4.5_prompt_16_Escrow_slither_report_1.txt","119"
"iter2 - Claude4.5_prompt_17_Raffle_slither_report_1.txt","121"
"iter2 - Claude4.5_prompt_18_JobBoard_slither_report_1.txt","151"
"iter2 - Claude4.5_prompt_19_ToDoList_slither_report_1.txt","139"
"iter2 - Claude4.5_prompt_2_NameRegistry_slither_report_1.txt","40"
"iter2 - Claude4.5_prompt_20_PropertyRegistry_slither_report_1.txt","162"
"iter2 - Claude4.5_prompt_21_AttendanceTracker_slither_report_1.txt","146"
"iter2 - Claude4.5_prompt_22_TokenAirdrop_slither_report_1.txt","155"
"iter2 - Claude4.5_prompt_23_TipJar_slither_report_1.txt","135"
"iter2 - Claude4.5_prompt_24_VotingAccessControl_slither_report_1.txt","199"
"iter2 - Claude4.5_prompt_25_DecentralizedNameService_slither_report_1.txt","169"
"iter2 - Claude4.5_prompt_26_RecurringPayment_slither_report_1.txt","199"
"iter2 - Claude4.5_prompt_27_DigitalCertificateNFT_slither_report_1.txt","197"
"iter2 - Claude4.5_prompt_28_ReputationSystem_slither_report_1.txt","179"
"iter2 - Claude4.5_prompt_29_EncryptedDataStorage_slither_report_1.txt","180"
"iter2 - Claude4.5_prompt_3_Crowdfunding_slither_report_1.txt","79"
"iter2 - Claude4.5_prompt_30_TimeBasedAuction_slither_report_1.txt","183"
"iter2 - Claude4.5_prompt_31_DepositWithdrawFee_slither_report_1.txt","110"
"iter2 - Claude4.5_prompt_32_TaskRewardSystem_slither_report_1.txt","184"
"iter2 - Claude4.5_prompt_33_CommunityProposals_slither_report_1.txt","214"
"iter2 - Claude4.5_prompt_34_MessageBoard_slither_report_1.txt","182"
"iter2 - Claude4.5_prompt_35_PausableTransfer_slither_report_1.txt","115"
"iter2 - Claude4.5_prompt_4_TokenVesting_slither_report_1.txt","105"
"iter2 - Claude4.5_prompt_5_Marketplace_slither_report_1.txt","97"
"iter2 - Claude4.5_prompt_6_LikeTracker_slither_report_1.txt","29"
"iter2 - Claude4.5_prompt_7_VotingSystem_slither_report_1.txt","93"
"iter2 - Claude4.5_prompt_8_MessageBoard_slither_report_1.txt","66"
"iter2 - Claude4.5_prompt_9_LoyaltyPoints_slither_report_1.txt","52"
"iter2 - Gemini2.5_prompt_1_SavingsWallet_slither_report_1.txt","23"
"iter2 - Gemini2.5_prompt_10_TimeLockedWallet_slither_report_1.txt","49"
"iter2 - Gemini2.5_prompt_11_SubscriptionService_slither_report_1.txt","54"
"iter2 - Gemini2.5_prompt_12_FeedbackSystem_slither_report_1.txt","48"
"iter2 - Gemini2.5_prompt_13_CharityDonations_slither_report_1.txt","56"
"iter2 - Gemini2.5_prompt_14_TokenFaucet_slither_report_1.txt","53"
"iter2 - Gemini2.5_prompt_15_Airdrop_slither_report_1.txt","32"
"iter2 - Gemini2.5_prompt_16_SimpleEscrow_slither_report_1.txt","62"
"iter2 - Gemini2.5_prompt_17_Raffle_slither_report_1.txt","50"
"iter2 - Gemini2.5_prompt_18_JobBoard_slither_report_1.txt","59"
"iter2 - Gemini2.5_prompt_19_TodoList_slither_report_1.txt","66"
"iter2 - Gemini2.5_prompt_2_NameRegistry_slither_report_1.txt","37"
"iter2 - Gemini2.5_prompt_20_PropertyRegistry_slither_report_1.txt","63"
"iter2 - Gemini2.5_prompt_21_AttendanceLogger_slither_report_1.txt","51"
"iter2 - Gemini2.5_prompt_22_TokenAirdrop_slither_report_1.txt","44"
"iter2 - Gemini2.5_prompt_23_TipJar_slither_report_1.txt","43"
"iter2 - Gemini2.5_prompt_24_AdminVoting_slither_report_1.txt","78"
"iter2 - Gemini2.5_prompt_25_DecentralizedNameService_slither_report_1.txt","64"
"iter2 - Gemini2.5_prompt_26_RecurringPayments_slither_report_1.txt","74"
"iter2 - Gemini2.5_prompt_27_DigitalCertificate_slither_report_1.txt","35"
"iter2 - Gemini2.5_prompt_28_ReputationSystem_slither_report_1.txt","48"
"iter2 - Gemini2.5_prompt_29_DataRegistry_slither_report_1.txt","58"
"iter2 - Gemini2.5_prompt_3_Crowdfunding_slither_report_1.txt","51"
"iter2 - Gemini2.5_prompt_30_TimeBasedAuction_slither_report_1.txt","62"
"iter2 - Gemini2.5_prompt_31_FeeBasedWallet_slither_report_1.txt","50"
"iter2 - Gemini2.5_prompt_32_TaskRewardSystem_slither_report_1.txt","72"
"iter2 - Gemini2.5_prompt_33_CommunityProposals_slither_report_1.txt","72"
"iter2 - Gemini2.5_prompt_34_MessagingWithLikes_slither_report_1.txt","53"
"iter2 - Gemini2.5_prompt_35_PausableWallet_slither_report_1.txt","47"
"iter2 - Gemini2.5_prompt_4_TokenVesting_slither_report_1.txt","53"
"iter2 - Gemini2.5_prompt_5_SimpleMarketplace_slither_report_1.txt","47"
"iter2 - Gemini2.5_prompt_6_LikeTracker_slither_report_1.txt","30"
"iter2 - Gemini2.5_prompt_7_SimpleVoting_slither_report_1.txt","53"
"iter2 - Gemini2.5_prompt_8_MessageBoard_slither_report_1.txt","41"
"iter2 - Gemini2.5_prompt_9_LoyaltyPoints_slither_report_1.txt","40"
"iter2 - GPT4_prompt_1_SavingsWallet_slither_report_1.txt","18"
"iter2 - GPT4_prompt_10_EthLocker_slither_report_1.txt","29"
"iter2 - GPT4_prompt_11_Subscription_slither_report_1.txt","24"
"iter2 - GPT4_prompt_12_Feedback_slither_report_1.txt","22"
"iter2 - GPT4_prompt_13_CharityDonationTracker_slither_report_1.txt","25"
"iter2 - GPT4_prompt_14_TokenFaucet_slither_report_1.txt","19"
"iter2 - GPT4_prompt_15_EthDistributor_slither_report_1.txt","20"
"iter2 - GPT4_prompt_16_Escrow_slither_report_1.txt","36"
"iter2 - GPT4_prompt_17_Raffle_slither_report_1.txt","31"
"iter2 - GPT4_prompt_18_JobBoard_slither_report_1.txt","29"
"iter2 - GPT4_prompt_19_TodoList_slither_report_1.txt","23"
"iter2 - GPT4_prompt_2_NameRegistry_slither_report_1.txt","16"
"iter2 - GPT4_prompt_20_PropertyRegistry_slither_report_1.txt","46"
"iter2 - GPT4_prompt_21_EventAttendance_slither_report_1.txt","16"
"iter2 - GPT4_prompt_22_TokenAirdrop_slither_report_1.txt","19"
"iter2 - GPT4_prompt_23_TipJar_slither_report_1.txt","21"
"iter2 - GPT4_prompt_24_VotingAccessControl_slither_report_1.txt","70"
"iter2 - GPT4_prompt_25_DecentralizedNameService_slither_report_1.txt","29"
"iter2 - GPT4_prompt_26_RecurringPayments_slither_report_1.txt","36"
"iter2 - GPT4_prompt_27_CertificateNFT_slither_report_1.txt","25"
"iter2 - GPT4_prompt_28_ReputationSystem_slither_report_1.txt","22"
"iter2 - GPT4_prompt_29_EncryptedDataStore_slither_report_1.txt","22"
"iter2 - GPT4_prompt_3_Crowdfunding_slither_report_1.txt","39"
"iter2 - GPT4_prompt_30_TimeBasedAuction_slither_report_1.txt","39"
"iter2 - GPT4_prompt_31_FeeVault_slither_report_1.txt","21"
"iter2 - GPT4_prompt_32_TaskReward_slither_report_1.txt","40"
"iter2 - GPT4_prompt_33_CommunityProposals_slither_report_1.txt","31"
"iter2 - GPT4_prompt_34_MessageWithLikes_slither_report_1.txt","32"
"iter2 - GPT4_prompt_35_PausableVault_slither_report_1.txt","33"
"iter2 - GPT4_prompt_4_TokenVesting_slither_report_1.txt","36"
"iter2 - GPT4_prompt_5_Marketplace_slither_report_1.txt","29"
"iter2 - GPT4_prompt_6_LikeTracker_slither_report_1.txt","12"
"iter2 - GPT4_prompt_7_SimpleVoting_slither_report_1.txt","41"
"iter2 - GPT4_prompt_8_MessageBoard_slither_report_1.txt","22"
"iter2 - GPT4_prompt_9_LoyaltyPoints_slither_report_1.txt","20"
"iter3 - Gemini2.5_prompt_1_SavingsWallet_slither_report_1.txt","56"
"iter3 - Gemini2.5_prompt_10_EthLocker_slither_report_1.txt","94"
"iter3 - Gemini2.5_prompt_11_SubscriptionManager_slither_report_1.txt","87"
"iter3 - Gemini2.5_prompt_12_FeedbackSystem_slither_report_1.txt","80"
"iter3 - Gemini2.5_prompt_13_CharityDonationTracker_slither_report_1.txt","94"
"iter3 - Gemini2.5_prompt_14_TokenFaucet_slither_report_1.txt","85"
"iter3 - Gemini2.5_prompt_15_EthDistributor_slither_report_1.txt","82"
"iter3 - Gemini2.5_prompt_16_SimpleEscrow_slither_report_1.txt","128"
"iter3 - Gemini2.5_prompt_17_OnChainRaffle_slither_report_1.txt","106"
"iter3 - Gemini2.5_prompt_18_JobBoard_slither_report_1.txt","131"
"iter3 - Gemini2.5_prompt_19_TodoList_slither_report_1.txt","78"
"iter3 - Gemini2.5_prompt_2_NameRegistry_slither_report_1.txt","91"
"iter3 - Gemini2.5_prompt_20_PropertyRegistry_slither_report_1.txt","112"
"iter3 - Gemini2.5_prompt_21_EventAttendance_slither_report_1.txt","111"
"iter3 - Gemini2.5_prompt_22_TokenAirdrop_slither_report_1.txt","91"
"iter3 - Gemini2.5_prompt_23_TipJar_slither_report_1.txt","75"
"iter3 - Gemini2.5_prompt_24_VotingBasedAccessControl_slither_report_1.txt","96"
"iter3 - Gemini2.5_prompt_25_DecentralizedNameService_slither_report_1.txt","101"
"iter3 - Gemini2.5_prompt_26_RecurringPayments_slither_report_1.txt","122"
"iter3 - Gemini2.5_prompt_27_DigitalCertificate_slither_report_1.txt","108"
"iter3 - Gemini2.5_prompt_28_ReputationSystem_slither_report_1.txt","81"
"iter3 - Gemini2.5_prompt_29_EncryptedDataRegistry_slither_report_1.txt","96"
"iter3 - Gemini2.5_prompt_3_CrowdFunding_slither_report_1.txt","100"
"iter3 - Gemini2.5_prompt_30_TimeBasedAuction_slither_report_1.txt","104"
"iter3 - Gemini2.5_prompt_31_FeeBasedWallet_slither_report_1.txt","88"
"iter3 - Gemini2.5_prompt_32_TaskRewardSystem_slither_report_1.txt","97"
"iter3 - Gemini2.5_prompt_33_CommunityProposals_slither_report_1.txt","85"
"iter3 - Gemini2.5_prompt_34_OnChainMessenger_slither_report_1.txt","75"
"iter3 - Gemini2.5_prompt_35_PausableWallet_slither_report_1.txt","104"
"iter3 - Gemini2.5_prompt_4_TokenVesting_slither_report_1.txt","158"
"iter3 - Gemini2.5_prompt_5_SimpleMarketplace_slither_report_1.txt","98"
"iter3 - Gemini2.5_prompt_6_LikeTracker_slither_report_1.txt","51"
"iter3 - Gemini2.5_prompt_7_SimpleVoting_slither_report_1.txt","98"
"iter3 - Gemini2.5_prompt_8_MessageBoard_slither_report_1.txt","69"
"iter3 - Gemini2.5_prompt_9_LoyaltyPoints_slither_report_1.txt","79"
"iter3 - GPT4_prompt_1_SavingsWallet_slither_report_1.txt","21"
"iter3 - GPT4_prompt_10_EthLocker_slither_report_1.txt","33"
"iter3 - GPT4_prompt_11_Subscription_slither_report_1.txt","28"
"iter3 - GPT4_prompt_12_Feedback_slither_report_1.txt","23"
